KATY PERRY, katyperry, 69332630, 47652
Justin Bieber, justinbieber, 63319291, 33028
Barack Obama, BarackObama, 58857454, 44289
Taylor Swift, taylorswift13, 57127951, 51257
YouTube, YouTube, 50616237, 20902
Lady Gaga, ladygaga, 46270025, 25182
Justin Timberlake, jtimberlake, 45015798, 37057
Rihanna, rihanna, 44906195, 51000
Ellen DeGeneres, TheEllenShow, 43006962, 41032
Britney Spears, britneyspears, 41746819, 11244
Instagram, instagram, 38696097, 14869
Twitter, twitter, 38158217, 39238
Cristiano Ronaldo, Cristiano, 35372606, 21484
Jennifer Lopez, JLo, 31941923, 11530
Kim Kardashian West, KimKardashian, 31582907, 28865
Shakira, shakira, 30831626, 20638
Selena Gomez, selenagomez, 28798706, 21170
Ariana Grande , ArianaGrande, 28443874, 37121
Demi Lovato, ddlovato, 28238522, 14020
Oprah Winfrey, Oprah, 27354523, 8288
CNN Breaking News, cnnbrk, 26474801, 27009
P!nk, Pink, 26417459, 7318
jimmy fallon, jimmyfallon, 24844410, 39502
Harry Styles., Harry_Styles, 24560728, 9607
One Direction, onedirection, 23456487, 10849
Lil Wayne WEEZY F, LilTunechi, 22700837, 14611
Drizzy, Drake, 22686205, 21622
Kaka, KAKA, 22605819, 6547
Adele, OfficialAdele, 22584239, 7383
Niall Horan, NiallOfficial, 22221492, 9166
Bill Gates, BillGates, 21749521, 19667
Alicia Keys, aliciakeys, 21713505, 7649
LeBron James, KingJames, 20892290, 24143
Bruno Mars, BrunoMars, 20821970, 10652
Pitbull, pitbull, 20101352, 8363
Liam, Real_Liam_Payne, 20089878, 8504
Cameron, wizkhalifa, 19510657, 17368
Miley Ray Cyrus, MileyCyrus, 19458898, 2960
Louis Tomlinson, Louis_Tomlinson, 19386801, 8190
Marshall Mathers, Eminem, 19336909, 2313
NICKI MINAJ, NICKIMINAJ, 19225104, 3690
Kevin Hart, KevinHart4real, 18913738, 24945
ESPN, espn, 18778823, 27416
Avril Lavigne, AvrilLavigne, 18709434, 8170
Neymar Jr, neymarjr, 18037337, 13218
Emma Watson, EmWatson, 17645265, 13312
David Guetta, davidguetta, 17432650, 7723
SportsCenter, SportsCenter, 16904451, 28883
CNN, CNN, 16865765, 12302
ashton kutcher, aplusk, 16860254, 2121
daniel tosh, danieltosh, 16709953, 21077
The New York Times, nytimes, 16480612, 14164
Conan O'Brien, ConanOBrien, 16383064, 16850
Real Madrid C. F., realmadrid, 15787805, 12057
Neil Patrick Harris, ActuallyNPH, 15651855, 23332
Mariah Carey, MariahCarey, 15476653, 1564
BBC Breaking News, BBCBreaking, 14929626, 17859
FC Barcelona, FCBarcelona, 14884734, 8772
zaynmalik, zaynmalik, 14683692, 7246
Christina Aguilera, xtina, 14667012, 6954
Coldplay, coldplay, 14600563, 6548
Amitabh Bachchan, SrBachchan, 14528702, 15845
Jim Carrey, JimCarrey, 14317843, 6217
Twitter en español, twitter_es, 14243019, 1738
Chris Brown, chrisbrown, 14205914, 1895
NBA, NBA, 14204248, 14134
Kourtney Kardashian, kourtneykardash, 14145931, 6178
Beyoncé Knowles, Beyonce, 14001004, 1075
Vine, vine, 13938939, 13126
Khloé , khloekardashian, 13930655, 11395
Facebook, facebook, 13910533, 55
Ed Sheeran, edsheeran, 13525013, 12818
Ryan Seacrest, RyanSeacrest, 13449548, 2867
Paris Hilton, ParisHilton, 13294632, 1678
will.i.am, iamwill, 13163821, 2770
AGNEZ MO, agnezmo, 13041156, 7702
Shah Rukh Khan, iamsrk, 12846080, 21094
AshleyTisdaleFrench, ashleytisdale, 12813282, 1795
Ivete Sangalo, ivetesangalo, 12769680, 6954
Leonardo DiCaprio, LeoDiCaprio, 12715537, 6718
Tyra Banks, tyrabanks, 12491968, 3694
Aamir Khan, aamir_khan, 12428777, 14849
UberSocial , UberSoc, 12412057, 3001
Alejandro Sanz, AlejandroSanz, 12344396, 2968
MTV, MTV, 12235646, 2861
Snoop Dogg, SnoopDogg, 12158169, 2593
KANYE WEST, kanyewest, 12150260, 9344
Ricky Martin, ricky_martin, 12095932, 4881
Narendra Modi, narendramodi, 12084356, 26055
Ronaldinho Gaúcho, 10Ronaldinho, 12065351, 5376
Blake Shelton, blakeshelton, 12029205, 16703
Simon Cowell, SimonCowell, 11891429, 5772
د. محمد العريفي, MohamadAlarefe, 11805572, 8008
Salman Khan, BeingSalmanKhan, 11725508, 13702
Charlie Sheen, charliesheen, 11455188, 375
NFL, nfl, 11326719, 19717
Wayne Rooney, WayneRooney, 11156909, 5400
Claudia Leitte, ClaudiaLeitte, 11016933, 5325
Google, google, 10959879, 10395
Dalai Lama, DalaiLama, 10872099, 6836
